date,dengue,sintomas_de_dengue,mosquito
2025-04-20,10,1,4
2025-04-27,10,1,4
2025-05-04,10,1,5
2025-05-11,11,1,5
2025-05-18,12,1,5
2025-05-25,12,1,4
2025-06-01,12,1,5
2025-06-08,16,1,6
2025-06-15,15,1,5
2025-06-22,17,1,5
2025-06-29,17,1,6
2025-07-06,19,1,6
2025-07-13,18,1,6
2025-07-20,17,1,7
2025-07-27,17,1,6
2025-08-03,16,1,6
2025-08-10,15,1,5
2025-08-17,16,1,5
2025-08-24,17,1,6
2025-08-31,15,1,5
2025-09-07,16,1,5
2025-09-14,16,1,5
2025-09-21,18,1,6
2025-09-28,19,1,6
2025-10-05,18,1,5
2025-10-12,19,1,6
2025-10-19,21,2,6
2025-10-26,20,1,5
2025-11-02,19,2,5
2025-11-09,20,1,5
2025-11-16,17,1,4
2025-11-23,16,1,4
2025-11-30,14,1,4
2025-12-07,12,1,3
2025-12-14,10,1,3
2025-12-21,9,1,4
2025-12-28,9,1,4
2026-01-04,9,1,3
2026-01-11,7,0,3
2026-01-18,9,0,3
2026-01-25,8,0,3
2026-02-01,8,1,4
2026-02-08,8,1,4
2026-02-15,9,1,4
2026-02-22,8,0,4
2026-03-01,10,0,4
2026-03-08,9,1,4
2026-03-15,8,1,4
2026-03-22,9,1,4
2026-03-29,6,0,4
2026-04-05,8,1,5
2026-04-12,8,0,5
2026-04-19,8,0,4
2026-04-26,8,0,5
2026-05-03,8,1,5
2026-05-10,7,0,5
2026-05-17,8,0,5
2026-05-24,9,1,5
2026-05-31,9,0,5
2026-06-07,9,1,5
2026-06-14,10,1,5
2026-06-21,10,1,6
2026-06-28,10,1,6
2026-07-05,10,1,5
2026-07-12,11,1,5
2026-07-19,9,1,6
